osm_id,name,ref,type,oneway,bridge,maxspeed,BUFF_DIST,ORIG_FID
58692691,通香路旧路,None,tertiary,0,0,0,10.0,114
58692699,通香路旧路,None,tertiary,0,0,0,10.0,115
58692842,垡头路,None,unclassified,0,0,0,10.0,116
58692881,None,X005,secondary,0,1,0,10.0,117
58692882,张凤路,X005,secondary,1,1,0,10.0,118
58692896,张凤路,X005,secondary,1,0,0,10.0,119
58692901,None,X005,tertiary,0,0,0,10.0,120
58693588,云风路,None,residential,0,0,0,10.0,121
58693591,None,None,residential,0,0,0,10.0,122
58693595,云凤路,None,residential,0,0,0,10.0,123
58693598,梧桐路,Y776,tertiary,0,0,0,10.0,124
58693605,京塘路辅路,None,tertiary,1,0,0,10.0,125
58693616,云杉路,None,residential,0,0,0,10.0,126
59050335,京津塘高速,S40,motorway,1,0,0,10.0,127
59050339,京津塘高速,S40,motorway,1,1,0,10.0,128
101830261,汇源道,None,tertiary,0,0,0,10.0,129
101830263,和平路,G104,trunk,1,0,0,10.0,130
101830266,创业路,None,primary,1,0,0,10.0,131
101830269,新源道,None,tertiary,0,0,0,10.0,132
101830273,南龙道,None,primary,1,0,0,10.0,133
101951810,爱民东道,None,secondary,1,0,0,10.0,134
101951811,银河北路,None,primary,1,0,0,10.0,135
101951814,None,None,motorway_link,1,0,0,10.0,136
101951817,None,None,motorway_link,1,0,0,10.0,137
101951818,None,None,motorway_link,1,0,0,10.0,138
101951821,西昌路,None,secondary,0,0,0,10.0,139
101951822,None,None,primary,0,0,0,10.0,140
101951827,银河北路,None,primary,1,0,0,10.0,141
101951829,永丰道,None,tertiary,1,0,0,10.0,142
101951836,北凤道,None,secondary,1,0,0,10.0,143
101951845,广阳道,None,primary,1,0,0,10.0,144
102203822,金源道,None,secondary,1,0,0,10.0,145
102203827,新开路,None,tertiary,1,0,0,10.0,146
102204805,解放道,None,secondary,1,0,0,10.0,147
102204807,和平路,G104,trunk,1,0,0,10.0,148
102204808,华祥路,None,tertiary,1,0,0,10.0,149
102204810,金光道,None,tertiary,1,0,0,10.0,150
102204811,建国道,None,tertiary,0,0,0,10.0,151
102204814,建设路,None,tertiary,0,0,0,10.0,152
102204815,新华路,None,secondary,1,0,0,10.0,153
102204816,光明东道,None,primary,1,0,0,10.0,154
102204817,解放道,None,secondary,1,0,0,10.0,155
102204818,建国道,None,tertiary,1,0,0,10.0,156
102204819,新华路,None,secondary,1,0,0,10.0,157
104438276,群芳中三街,None,tertiary,1,0,0,10.0,158
104438278,None,None,residential,0,0,0,10.0,159
104438293,None,None,service,0,0,0,10.0,160
104438299,群芳中二街,None,tertiary,1,0,0,10.0,161
104438301,颐瑞中三街,None,residential,0,0,0,10.0,162
104489400,颐瑞中二街,None,tertiary,0,0,0,10.0,163
104490261,None,None,service,0,0,0,10.0,164
104490263,None,None,residential,0,0,0,10.0,165
104490264,None,None,residential,0,0,0,10.0,166
112528675,京沪高速,G2,motorway,1,1,0,10.0,167
112528676,京沪高速,G2,motorway,1,0,0,10.0,168
112528678,京沪高速,G2,motorway,1,1,0,10.0,169
115505267,None,None,footway,0,1,0,10.0,170
115505284,None,None,footway,0,1,0,10.0,171
115505291,None,None,steps,0,1,0,10.0,172
117086005,None,None,residential,0,0,0,10.0,173
117086006,采林路,X301,secondary,0,0,0,10.0,174
117086007,None,None,tertiary,0,0,0,10.0,175
117086009,None,None,residential,0,0,0,10.0,176
117086010,None,None,residential,0,0,0,10.0,177
117086011,None,None,residential,0,0,0,10.0,178
117086012,None,None,motorway_link,1,0,0,10.0,179
117086013,采林路,X301,secondary,0,1,0,10.0,180
117086014,None,None,motorway_link,1,0,0,10.0,181
117086015,采廊路,G104,trunk,1,0,0,10.0,182
117086016,None,None,secondary,0,0,0,10.0,183
117088406,采图路,None,tertiary,0,0,0,10.0,184
117088407,育隆大街,None,tertiary,1,0,0,10.0,185
117088408,育圣街,None,tertiary,1,0,0,10.0,186
117088409,采伟路,None,secondary,1,0,0,10.0,187
117088410,育政街,None,tertiary,1,0,0,10.0,188
117088413,育英街,None,tertiary,1,0,0,10.0,189
117088414,None,None,tertiary,0,0,0,10.0,190
117088415,采宝路,None,tertiary,0,0,0,10.0,191
117088419,采伟路,None,secondary,1,0,0,10.0,192
117088420,京福路,G104,trunk,0,0,0,10.0,193
117088421,采业路,None,tertiary,0,0,0,10.0,194
117088422,育隆大街,None,tertiary,1,0,0,10.0,195
117088423,采伟路,None,secondary,1,0,0,10.0,196
117088671,None,None,residential,0,0,0,10.0,197
117088672,None,None,residential,0,0,0,10.0,198
117088674,None,None,tertiary,0,0,0,10.0,199
117088675,None,None,residential,0,0,0,10.0,200
117088677,None,None,residential,0,0,0,10.0,201
117088678,None,None,residential,0,0,0,10.0,202
117088679,None,None,residential,0,0,0,10.0,203
117088681,None,None,residential,0,0,0,10.0,204
117088682,None,None,residential,0,0,0,10.0,205
117088683,None,None,tertiary,0,1,0,10.0,206
117088684,None,None,residential,0,0,0,10.0,207
117088685,None,None,residential,0,0,0,10.0,208
117088686,None,None,residential,0,0,0,10.0,209
117088687,None,None,residential,0,0,0,10.0,210
117088689,None,None,residential,0,0,0,10.0,211
117088690,None,None,residential,0,0,0,10.0,212
117089642,None,None,primary,0,0,0,10.0,213
120383039,None,None,service,0,0,0,10.0,214
121511423,None,None,residential,0,0,0,10.0,215
121511424,None,None,residential,0,0,0,10.0,216
121511425,None,None,residential,0,0,0,10.0,217
127017785,张台路,None,tertiary,0,0,0,10.0,218
127017793,京哈高速,G1;AH1,motorway,1,1,0,10.0,219
127017794,京哈高速,G1;AH1,motorway,1,1,0,10.0,220
127017797,京哈高速,G1;AH1,motorway,1,1,0,10.0,221
127017799,None,None,motorway_link,1,0,0,10.0,222
127017800,None,None,tertiary,0,0,0,10.0,223
127017808,京哈高速,G1;AH1,motorway,1,1,0,10.0,224
127017810,张台路,None,tertiary,0,0,0,10.0,225
127017813,京哈高速,G1;AH1,motorway,1,1,0,10.0,226
127017816,京哈高速,G1;AH1,motorway,1,1,0,10.0,227
127017819,朗府一桥,None,tertiary,0,1,0,10.0,228
127017821,京哈高速,G1;AH1,motorway,1,1,0,10.0,229
127017825,京哈高速,G1;AH1,motorway,1,1,0,10.0,230
127017832,京哈高速,G1;AH1,motorway,1,1,0,10.0,231
127017834,京哈高速,G1;AH1,motorway,1,1,0,10.0,232
127017835,京哈高速,G1;AH1,motorway,1,1,0,10.0,233
127017837,西下营路,None,tertiary,0,0,0,10.0,234
127017841,京哈高速,G1;AH1,motorway,1,1,0,10.0,235
127017844,京哈高速,G1;AH1,motorway,1,1,0,10.0,236
127017847,东西下营桥,None,tertiary,0,1,0,10.0,237
127017848,京哈高速,G1;AH1,motorway,1,1,0,10.0,238
127017849,京哈高速,G1;AH1,motorway,1,1,0,10.0,239
127017852,京哈高速,G1;AH1,motorway,1,1,0,10.0,240
127017855,京哈高速,G1;AH1,motorway,1,1,0,10.0,241
127017856,任朗路,None,tertiary,0,1,0,10.0,242
127017862,京哈高速,G1;AH1,motorway,1,1,0,10.0,243
127017866,京哈高速,G1;AH1,motorway,1,1,0,10.0,244
127017870,京哈高速,G1;AH1,motorway,1,1,0,10.0,245
127017871,京哈高速,G1;AH1,motorway,1,1,0,10.0,246
127017873,None,None,motorway_link,1,0,0,10.0,247
127017878,张台路,X015,tertiary,0,0,0,10.0,248
127017880,新堤路,None,tertiary,0,0,0,10.0,249
127017882,苏望路,None,tertiary,1,0,0,10.0,250
127017883,None,None,motorway_link,1,0,0,10.0,251
127017889,新堤路,None,tertiary,0,0,0,10.0,252
127017891,供杜路,None,tertiary,0,0,0,10.0,253
127017896,唐通线,G509,trunk,1,0,0,10.0,254
127017902,None,None,motorway_link,1,0,0,10.0,255
127017903,任郎路,None,tertiary,0,0,0,10.0,256
127017904,None,None,service,1,0,0,10.0,257
127017907,None,None,motorway_link,1,0,0,10.0,258
127017909,None,None,motorway_link,1,0,0,10.0,259
127017910,None,None,motorway_link,1,0,0,10.0,260
127017911,田家府服务区,None,services,0,0,0,10.0,261
127017913,None,None,motorway_link,1,0,0,10.0,262
127017921,田家府服务区,None,services,0,0,0,10.0,263
127017923,None,None,motorway_link,1,0,0,10.0,264
127017936,京哈高速,G1;AH1,motorway,1,0,0,10.0,265
127017940,京哈高速,G1;AH1,motorway,1,0,120,10.0,266
127017946,京哈高速,G1;AH1,motorway,1,0,0,10.0,267
127017947,京哈高速,G1;AH1,motorway,1,0,0,10.0,268
127017948,京哈高速,G1;AH1,motorway,1,0,0,10.0,269
127017951,京哈高速,G1;AH1,motorway,1,0,0,10.0,270
127017952,京哈高速,G1;AH1,motorway,1,0,0,10.0,271
127017953,京哈高速,G1;AH1,motorway,1,0,0,10.0,272
127017954,京哈高速,G1;AH1,motorway,1,0,0,10.0,273
127017956,京哈高速,G1;AH1,motorway,1,0,0,10.0,274
127017957,京哈高速,G1;AH1,motorway,1,0,0,10.0,275
127017958,京哈高速,G1;AH1,motorway,1,0,0,10.0,276
127017963,京哈高速,G1;AH1,motorway,1,0,0,10.0,277
127017966,京哈高速,G1;AH1,motorway,1,0,0,10.0,278
127017967,京哈高速,G1;AH1,motorway,1,0,0,10.0,279
127017968,京哈高速,G1;AH1,motorway,1,1,0,10.0,280
127017969,京哈高速,G1;AH1,motorway,1,0,0,10.0,281
127017971,京哈高速,G1;AH1,motorway,1,0,0,10.0,282
127017974,京哈高速,G1;AH1,motorway,1,0,0,10.0,283
127017977,京哈高速,G1;AH1,motorway,1,0,0,10.0,284
127017980,京哈高速,G1;AH1,motorway,1,0,0,10.0,285
127017992,东六环路,None,motorway,1,1,0,10.0,286
127017994,东六环路,None,motorway,1,1,0,10.0,287
127017995,东六环路,None,motorway,1,0,0,10.0,288
127017996,东六环路,G4501,motorway,1,0,0,10.0,289
127031115,六环路,None,motorway,1,0,0,10.0,290
133659034,None,None,motorway_link,1,0,0,10.0,291
133659035,None,None,motorway_link,1,0,0,10.0,292
133659036,None,None,motorway_link,1,0,0,10.0,293
133659040,None,None,motorway_link,1,0,0,10.0,294
133659043,None,None,motorway_link,1,0,0,10.0,295
133659513,京沪京台联络线,S3600,motorway,1,1,0,10.0,296
133659515,None,None,motorway_link,1,0,0,10.0,297
133659520,津永线,S112,primary,0,0,0,10.0,298
133659524,祥园道,S112,primary,1,0,0,10.0,299
133661066,None,S112,primary,0,0,0,10.0,300
133661069,None,S112,primary,0,1,0,10.0,301
